canonical_smiles,uniprot_id,K,AC50,pK,pAC50,Protein_family
O=C(O)C1(F)CCCN(CCC=C(c2ccccc2)c2ccccc2)C1,P30531,831.76,,6.08,,Transporter
CC(=O)[C@@H]1CC[C@H]2CC[C@@H]1N2CCC=C(c1ccccc1)c1ccccc1,P30531,2754.23,,5.56,,Transporter
O=C(O)C[C@H]1CCNC1,P30531,,3055.945,,5.515,Transporter
O=C1OC[C@H](Cc2ccc3c(c2)OCO3)[C@H]1Cc1ccc2c(c1)OCO2,P30531,,20600.0,,4.686,Transporter
O=C(O)C1CCCNC1,P30531,,36228.35,,4.441,Transporter
O=C(O)[C@H](O)[C@H]1CCCN1CCC=C(c1ccccc1)c1ccccc1,P30531,3981.035,13803.84,5.4,4.86,Transporter
O=C(O)[C@@H](O)[C@H]1CCCN1CCC=C(c1ccccc1)c1ccccc1,P30531,213.9,1905.46,6.67,5.72,Transporter
Cc1ccsc1C(=CCCN1CCC[C@@H]1[C@@H](O)C(=O)O)c1sccc1C,P30531,1096.24,4168.69,5.96,5.38,Transporter
Cc1ccsc1C(=CCCN1CCC[C@@H]1[C@H](O)C(=O)O)c1sccc1C,P30531,66.035,724.44,7.18,6.14,Transporter
Cc1ccsc1C(=CCCN1CCC[C@@H]1[C@@H](N)C(=O)O)c1sccc1C,P30531,20417.19,,4.69,,Transporter
Cc1ccsc1C(=CCCN1CCC[C@@H]1[C@H](N)C(=O)O)c1sccc1C,P30531,19054.805,,4.72,,Transporter
O=C(O)C[C@@H]1CCNC1,P30531,,3531.1400000000003,,5.452,Transporter
O=C(O)C1CCCN(CCC=C(c2ccccc2)c2ccccc2)C1,P30531,72.44,165.0,7.14,6.783,Transporter
O=C(O)[C@@H]1CCCN(CCC=C(c2sccc2COCc2ccccc2)c2sccc2COCc2ccccc2)C1,P30531,,840.0,,6.076,Transporter
COCc1ccsc1C(=CCCN1CCC[C@@H](C(=O)O)C1)c1sccc1COC,P30531,,2800.0,,5.553,Transporter
O=C(O)[C@@H]1CCCN(CCC=C(c2sccc2COC2CCCCC2)c2sccc2COC2CCCCC2)C1,P30531,,680.0,,6.167,Transporter
O=C(O)C1CCN(CCC=C(c2sccc2COC2CCCCC2)c2sccc2COC2CCCCC2)CC1,P30531,,1240.0,,5.907,Transporter
O=C(O)[C@@H]1CCCN(CCC=C(c2sccc2COc2cccc3ccccc23)c2sccc2COc2cccc3ccccc23)C1,P30531,,66300.0,,4.178,Transporter
CC(C)OCc1ccsc1C(=CCCN1CCC[C@@H](C(=O)O)C1)c1sccc1COC(C)C,P30531,,7100.0,,5.149,Transporter
Cc1ccsc1C(=CCCN1CCCCC1C(=O)O)c1sccc1C,P30531,,1360.0,,5.866,Transporter
O=C(O)C1CCCCN1CCC=C(c1sccc1COCc1ccccc1)c1sccc1COCc1ccccc1,P30531,,27600.0,,4.559,Transporter
O=C(O)C1CCN(CCC=C(c2sccc2COCc2ccccc2)c2sccc2COCc2ccccc2)CC1,P30531,,4340.0,,5.363,Transporter
O=C(O)[C@@H]1CCCN(CCC=C(c2sccc2COc2ccccc2)c2sccc2COc2ccccc2)C1,P30531,,340.0,,6.469,Transporter
COCc1ccsc1C(=CCCN1CCCCC1C(=O)O)c1sccc1COC,P30531,,12300.0,,4.91,Transporter
O=C(O)C1CCCCN1CCC=C(c1sccc1COC1CCCCC1)c1sccc1COC1CCCCC1,P30531,,940.0,,6.027,Transporter
O=C(O)C1CCN(CCC=C(c2sccc2COc2ccccc2)c2sccc2COc2ccccc2)CC1,P30531,,1500.0,,5.824,Transporter
O=C(O)C1CCCCN1CCC=C(c1sccc1COc1ccccc1)c1sccc1COc1ccccc1,P30531,,650.0,,6.187,Transporter
COc1ccc(C(OCCN2CCC[C@H](C(=O)O)C2)(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,P30531,,279522.57,,3.554,Transporter
COc1ccc(C2(OCCN3CCCC(C(=O)O)C3)c3ccccc3-c3ccccc32)cc1,P30531,,132500.0,,3.878,Transporter
O=C(O)C1=CCCNC1,P30531,,14000.0,,4.854,Transporter
O=C(O)[C@H]1CCCNC1,P30531,,116000.0,,3.936,Transporter
O=C(O)[C@@H]1CCCN(CCC=C(c2ccccc2)c2ccccc2)C1,P30531,72.44,,7.14,,Transporter
NC1=NC(CC(=O)O)CS1,P30531,,165259.44,,3.782,Transporter
NCCCC(=O)O,P30531,,4155.655,,5.381,Transporter
COc1cccc(C(CN(C)C)C2(O)CCCCC2)c1,P23975,316.0,208.0,6.5,6.682,Transporter
COC(=O)c1ccccc1-c1ccc2ccccc2c1,P23975,46700.0,,4.331,,Transporter
CNCCCN1Cc2ccccc2N(c2ccc(Cl)cc2)S1(=O)=O,P23975,,910.0,,6.041,Transporter
CC(C)CN(C(=O)c1cccc(C(F)(F)F)c1Cl)[C@H]1CCNC1,P23975,103.0,,6.987,,Transporter
CC(C)CN(C(=O)c1cc(Cl)ccc1Cl)[C@H]1CCNC1,P23975,198.0,,6.703,,Transporter
CC(C)CN(C(=O)c1cccc(Cl)c1F)[C@H]1CCNC1,P23975,139.0,,6.857,,Transporter
CC(C)CN(C(=O)c1cccc(F)c1C(F)(F)F)[C@H]1CCNC1,P23975,26.0,,7.585,,Transporter
CC(C)CN(C(=O)c1ccc(F)cc1Cl)[C@H]1CCNC1,P23975,263.0,,6.58,,Transporter
Cc1c(Cl)cccc1C(=O)N(CC(C)C)[C@H]1CCNC1,P23975,29.0,,7.538,,Transporter
Cc1c(F)cccc1C(=O)N(CC(C)C)[C@H]1CCNC1,P23975,69.0,,7.161,,Transporter
CC(C)CN(C(=O)c1cccc(F)c1Cl)[C@H]1CCNC1,P23975,67.0,,7.174,,Transporter
CC(C)CN(C(=O)c1ccccc1C(C)C)[C@H]1CCNC1,P23975,65.0,,7.187,,Transporter
CC(C)CN(C(=O)c1cccc(Cl)c1Cl)[C@@H]1CCNC1,P23975,169.0,,6.772,,Transporter
CCN(C(=O)c1cccc(Cl)c1Cl)[C@H]1CCNC1,P23975,217.0,,6.664,,Transporter
CC(C)CN(C(=O)c1cc(Cl)cc(Cl)c1)[C@H]1CCNC1,P23975,43.0,,7.367,,Transporter
CC(C)CN(C(=O)c1ccc(Cl)c(Cl)c1)[C@H]1CCNC1,P23975,50.0,,7.301,,Transporter
CC(C)CN(C(=O)c1cccc(Cl)c1)[C@H]1CCNC1,P23975,135.0,,6.87,,Transporter
O=C(c1cccc(Cl)c1Cl)N(C1=CCOC=C1)[C@H]1CCNC1,P23975,10.0,,8.0,,Transporter
O=C(c1cccc(Cl)c1Cl)N(c1ccccc1)[C@H]1CCNC1,P23975,11.0,,7.959,,Transporter
CC(C)CN(C(=O)c1ccc(Cl)cc1Cl)[C@H]1CCNC1,P23975,37.0,,7.432,,Transporter
CCCN(C(=O)c1cccc(Cl)c1Cl)[C@H]1CCNC1,P23975,36.0,,7.444,,Transporter
CC(C)CN(C(=O)c1cccc(Cl)c1Cl)[C@H]1CCNC1,P23975,21.0,,7.678,,Transporter
O=C(c1cccc(Cl)c1Cl)N(CC(F)(F)F)[C@H]1CCNC1,P23975,95.0,,7.022,,Transporter
O=C(c1cccc(Cl)c1Cl)N(CCC1CC1)[C@H]1CCNC1,P23975,24.0,,7.62,,Transporter
CC(C)(C)CN(C(=O)c1cccc(Cl)c1Cl)[C@H]1CCNC1,P23975,13.0,,7.886,,Transporter
O=C(c1cccc(Cl)c1Cl)N(C1CCCC1)[C@H]1CCNC1,P23975,11.0,,7.959,,Transporter
CCC(CC)N(C(=O)c1cccc(Cl)c1Cl)[C@H]1CCNC1,P23975,37.0,,7.432,,Transporter
CNC[C@H](O)CCN1c2ccccc2N(c2ccccc2C)S1(=O)=O,P23975,,224.5,,6.649,Transporter
CNC[C@@H](O)CCN1c2ccccc2N(c2ccccc2F)S1(=O)=O,P23975,,3.0,,8.523,Transporter
CNC[C@H](O)CCN1c2ccccc2N(c2ccccc2Cl)S1(=O)=O,P23975,,54.5,,7.264,Transporter
CNCCCN1Cc2ccccc2N(c2cccc(C)c2)S1(=O)=O,P23975,,1030.0,,5.987,Transporter
CNC[C@@H](O)CCN1c2ccccc2N(c2ccc(F)c(F)c2)S1(=O)=O,P23975,,39.5,,7.403,Transporter
CNCC(O)CCN1c2ccccc2N(c2ccccc2F)S1(=O)=O,P23975,,5.0,,8.301,Transporter
CNC[C@@H](O)CCN1c2ccccc2N(c2cc(F)ccc2F)S1(=O)=O,P23975,,2.5,,8.602,Transporter
CNCCCN1Cc2cc(F)ccc2N(c2ccccc2F)S1(=O)=O,P23975,,120.0,,6.921,Transporter
CNCCCCN1Cc2cc(F)ccc2N(c2ccccc2F)S1(=O)=O,P23975,,30.0,,7.523,Transporter
CNCC(=O)CCN1c2ccccc2N(c2ccccc2F)S1(=O)=O,P23975,,3.55,,8.45,Transporter
CNCC(O)CCN1c2ccccc2N(c2ccccc2)S1(=O)=O,P23975,,3.5,,8.456,Transporter
CC(C)Oc1ccccc1CC(c1ccccc1)N1CCNCC1,P23975,22.0,,7.658,,Transporter
CNC[C@H](O)CCN1c2ccccc2N(c2ccccc2)S1(=O)=O,P23975,,6.0,,8.222,Transporter
CNC[C@@H](O)CCN1c2ccccc2N(c2ccccc2)S1(=O)=O,P23975,,3.0,,8.523,Transporter
CNC[C@H](O)CCN1c2ccccc2N(c2ccccc2F)S1(=O)=O,P23975,,5.333333333333333,,8.273,Transporter
Fc1ccc(C(Cc2ccccc2OC(F)F)N2CCNCC2)cc1,P23975,40.0,,7.398,,Transporter
Fc1cccc(C(Cc2ccccc2OC(F)(F)F)N2CCNCC2)c1,P23975,30.0,,7.523,,Transporter
CNC[C@H](O)CCN1c2ccccc2N(c2c(F)cccc2F)S1(=O)=O,P23975,,7.5,,8.125,Transporter
CNC[C@@H](O)CCN1c2ccccc2N(c2c(F)cccc2F)S1(=O)=O,P23975,,3.0,,8.523,Transporter
CNC[C@H](O)CCN1c2ccccc2N(c2ccc(F)c(F)c2)S1(=O)=O,P23975,,335.5,,6.474,Transporter
c1ccc(C(Cc2ccccc2OC2CC2)N2CCNCC2)cc1,P23975,22.0,,7.658,,Transporter
c1ccc(C(Cc2ccccc2OCC2CC2)N2CCNCC2)cc1,P23975,25.0,,7.602,,Transporter
c1ccc(C(Cc2cccc3c2OCC3)N2CCNCC2)cc1,P23975,340.0,,6.469,,Transporter
CNC[C@H](C)CN1c2ccccc2N(c2ccccc2F)S1(=O)=O,P23975,,521.5,,6.283,Transporter
CCNCC(O)CCN1c2ccccc2N(c2ccccc2)S1(=O)=O,P23975,,196.0,,6.708,Transporter
CC(C)NCC(O)CCN1c2ccccc2N(c2ccccc2)S1(=O)=O,P23975,,2255.0,,5.647,Transporter
O=S1(=O)N(CCC(O)CNC2CC2)c2ccccc2N1c1ccccc1,P23975,,9.0,,8.046,Transporter
CC(C)(C)NCC(O)CCN1c2ccccc2N(c2ccccc2)S1(=O)=O,P23975,,853.0,,6.069,Transporter
Fc1ccccc1C(Cc1ccccc1OC(F)F)N1CCNCC1,P23975,46.0,,7.337,,Transporter
CNC[C@H](O)CCN1c2ccccc2N(c2ccc(F)cc2F)S1(=O)=O,P23975,,104.5,,6.981,Transporter
CNC[C@@H](O)CCN1c2ccccc2N(c2ccc(F)cc2F)S1(=O)=O,P23975,,18.5,,7.733,Transporter
Fc1cccc(C(Cc2ccccc2OC(F)F)N2CCNCC2)c1,P23975,26.0,,7.585,,Transporter
CNC[C@H](O)CCN1c2ccccc2N(c2ccc(F)cc2)S1(=O)=O,P23975,,286.0,,6.544,Transporter
CNC[C@@H](O)CCN1c2ccccc2N(c2ccc(F)cc2)S1(=O)=O,P23975,,98.5,,7.007,Transporter
