canonical_smiles,uniprot_id,K,AC50,pK,pAC50,Protein_family
O=C(c1cc(Br)co1)N1CC2CNCC2C1,P43681,17.0,,7.77,,Ion Channel
O=C(c1occc1Br)N1CC2CNCC2C1,P43681,1.75,,8.757,,Ion Channel
Cc1ccc(C(=O)N2CC3CNCC3C2)o1,P43681,35.0,,7.456,,Ion Channel
Cc1ccoc1C(=O)N1CC2CNCC2C1,P43681,43.0,,7.367,,Ion Channel
O=C(c1ccc(F)o1)N1CC2CNCC(C2)C1,P43681,4.6,300.0,8.337,6.523,Ion Channel
O=C(c1cc(F)co1)N1CC2CNCC(C2)C1,P43681,14.0,800.0,7.854,6.097,Ion Channel
O=C(c1occc1F)N1CC2CNCC(C2)C1,P43681,57.0,22000.0,7.244,4.658,Ion Channel
O=C(c1ccc(Cl)o1)N1CC2CNCC(C2)C1,P43681,7.3,1400.0,8.137,5.854,Ion Channel
O=C(c1cc(Cl)co1)N1CC2CNCC(C2)C1,P43681,5.2,100000.0,8.284,4.0,Ion Channel
O=C(c1occc1Cl)N1CC2CNCC(C2)C1,P43681,29.0,76000.0,7.538,4.119,Ion Channel
O=C(c1ccc(Br)o1)N1CC2CNCC(C2)C1,P43681,51.0,8300.0,7.292,5.081,Ion Channel
O=C(c1cc(Br)co1)N1CC2CNCC(C2)C1,P43681,1.7,18000.0,8.77,4.745,Ion Channel
O=C(c1occc1Br)N1CC2CNCC(C2)C1,P43681,17.0,8600.0,7.77,5.066,Ion Channel
N#Cc1ccoc1C(=O)N1CC2CNCC(C2)C1,P43681,31.0,26000.0,7.509,4.585,Ion Channel
Cc1ccc(C(=O)N2CC3CNCC(C3)C2)o1,P43681,42.0,8500.0,7.377,5.071,Ion Channel
O=C(c1ccno1)N1CC2CNCC2C1,P43681,59.0,,7.229,,Ion Channel
O=C(c1ccco1)N1CC2CNCC2C1,P43681,33.0,,7.481,,Ion Channel
O=C(c1ccco1)N1CC2CNCC(C2)C1,P43681,14.95,,7.825,,Ion Channel
O=C(c1ccncc1)N1CC2CNCC2C1,P43681,113.5,,6.945,,Ion Channel
CN1CCC(S(=O)(=O)c2ccc3nc(NC(=O)NC(=O)c4cc(N5CCOCC5)ccc4Cl)sc3c2)CC1,P43681,52.0,,7.284,,Ion Channel
O=C(c1ccc([N+](=O)[O-])o1)N1CC2CNCC2C1,P43681,31.0,,7.509,,Ion Channel
COc1cc(C(=O)N2CC3CNCC3C2)on1,P43681,19.0,,7.721,,Ion Channel
O=C(c1ccc(C#Cc2ccccc2)o1)N1CC2CNCC2C1,P43681,43.0,,7.367,,Ion Channel
O=C(c1cc(Br)no1)N1CC2CNCC2C1,P43681,44.0,,7.357,,Ion Channel
COc1coc(C(=O)N2CC3CNCC3C2)c1OC,P43681,40.0,,7.398,,Ion Channel
O=C(c1cc(-c2cc(F)cc(F)c2)co1)N1CC2CNCC2C1,P43681,24.0,,7.62,,Ion Channel
O=C(c1cc(-c2ccccc2)co1)N1CC2CNCC2C1,P43681,86.0,,7.066,,Ion Channel
O=C(c1cc(-c2ccoc2)co1)N1CC2CNCC2C1,P43681,95.0,,7.022,,Ion Channel
Cc1cc(C(=O)N2CC3CNCC3C2)no1,P43681,84.0,,7.076,,Ion Channel
Cc1nocc1C(=O)N1CC2CNCC2C1,P43681,14.0,,7.854,,Ion Channel
Cc1cc(C(=O)N2CC3CNCC3C2)on1,P43681,31.0,,7.509,,Ion Channel
Cc1occc1C(=O)N1CC2CNCC2C1,P43681,29.0,,7.538,,Ion Channel
O=CNc1ccc(C(=O)N2CC3CNCC3C2)o1,P43681,63.0,,7.201,,Ion Channel
COc1ccoc1C(=O)N1CC2CNCC2C1,P43681,100.0,,7.0,,Ion Channel
Cc1cc(C(F)(F)F)c(C(=O)N2CC3CNCC3C2)o1,P43681,45.0,,7.347,,Ion Channel
O=C(c1cc(C(F)(F)F)co1)N1CC2CNCC2C1,P43681,36.0,,7.444,,Ion Channel
Nc1coc(C(=O)N2CC3CNCC3C2)c1,P43681,28.0,,7.553,,Ion Channel
Cc1oc(C(=O)N2CC3CNCC3C2)cc1Br,P43681,22.0,,7.658,,Ion Channel
C=Cc1ccoc1C(=O)N1CC2CNCC2C1,P43681,51.0,,7.292,,Ion Channel
CCCCC#Cc1coc(C(=O)N2CC3CNCC3C2)c1,P43681,21.0,,7.678,,Ion Channel
O=C(c1cc(Br)c(Br)o1)N1CC2CNCC2C1,P43681,4.9,,8.31,,Ion Channel
[C-]#[N+]c1ccoc1C(=O)N1CC2CNCC2C1,P43681,14.0,,7.854,,Ion Channel
O=C(c1ccon1)N1CC2CNCC2C1,P43681,90.0,,7.046,,Ion Channel
C#Cc1ccc(C(=O)N2CC3CNCC3C2)o1,P43681,48.0,,7.319,,Ion Channel
[C-]#[N+]c1ccc(C(=O)N2CC3CNCC3C2)o1,P43681,40.0,,7.398,,Ion Channel
Cc1cc(F)c(C(=O)N2CC3CNCC3C2)o1,P43681,14.0,,7.854,,Ion Channel
O=C(c1coc(C(F)F)c1)N1CC2CNCC2C1,P43681,130.0,,6.886,,Ion Channel
COc1cc(C(=O)N2CC3CNCC(C3)C2)on1,P43681,180.0,,6.745,,Ion Channel
O=C(c1cc(Br)no1)N1CC2CNCC(C2)C1,P43681,18.0,,7.745,,Ion Channel
CC(=O)Nc1ccc(C(=O)N2CC3CNCC(C3)C2)o1,P43681,210.0,,6.678,,Ion Channel
Cc1cc(C(=O)N2CC3CNCC(C3)C2)no1,P43681,96.0,,7.018,,Ion Channel
Cc1ncoc1C(=O)N1CC2CNCC(C2)C1,P43681,64.0,,7.194,,Ion Channel
Cc1nocc1C(=O)N1CC2CNCC(C2)C1,P43681,21.0,,7.678,,Ion Channel
Cc1cc(C(=O)N2CC3CNCC(C3)C2)on1,P43681,47.0,,7.328,,Ion Channel
O=C(c1cc(C2CC2)on1)N1CC2CNCC(C2)C1,P43681,83.0,,7.081,,Ion Channel
Nc1coc(C(=O)N2CC3CNCC(C3)C2)c1,P43681,62.0,,7.208,,Ion Channel
O=C(c1cc(-c2cc(F)cc(F)c2)co1)N1CC2CNCC(C2)C1,P43681,23.0,,7.638,,Ion Channel
O=C(c1cc(-c2ccoc2)co1)N1CC2CNCC(C2)C1,P43681,35.0,,7.456,,Ion Channel
O=C(c1cc(Br)c(Br)o1)N1CC2CNCC(C2)C1,P43681,1.6,,8.796,,Ion Channel
O=C(c1ccon1)N1CC2CNCC(C2)C1,P43681,10.0,,8.0,,Ion Channel
Cc1oc(C(=O)N2CC3CNCC(C3)C2)cc1Br,P43681,5.2,,8.284,,Ion Channel
COc1ccoc1C(=O)N1CC2CNCC(C2)C1,P43681,28.0,,7.553,,Ion Channel
O=C(c1cnco1)N1CC2CNCC(C2)C1,P43681,26.0,,7.585,,Ion Channel
C#Cc1ccc(C(=O)N2CC3CNCC(C3)C2)o1,P43681,47.0,,7.328,,Ion Channel
[C-]#[N+]c1ccc(C(=O)N2CC3CNCC(C3)C2)o1,P43681,8.7,,8.06,,Ion Channel
Cc1cc(F)c(C(=O)N2CC3CNCC(C3)C2)o1,P43681,62.0,,7.208,,Ion Channel
O=C(c1ncco1)N1CC2CNCC(C2)C1,P43681,85.0,,7.071,,Ion Channel
[C-]#[N+]c1coc(C(=O)N2CC3CNCC(C3)C2)c1,P43681,23.0,,7.638,,Ion Channel
Cc1oncc1C(=O)N1CC2CNCC(C2)C1,P43681,31.0,,7.509,,Ion Channel
O=C(c1ccno1)N1CC2CNCC(C2)C1,P43681,30.0,,7.523,,Ion Channel
c1ccc(-c2nc(CN3CCN(c4ncccn4)CC3)c[nH]2)cc1,P46098,750.0,,6.125,,Ion Channel
O=C(NCCCCN1CCCCC1)Nc1ccc(-c2ccc(F)cc2)cc1,P46098,,5800.0,,5.237,Ion Channel
O=C(NCCCCN1CCCCC1)Nc1ccc(-c2ccccc2F)cc1,P46098,,5700.0,,5.244,Ion Channel
O=C(NCCCCN1CCCCC1)Nc1ccc(-c2ccccc2)cc1,P46098,,7900.0,,5.102,Ion Channel
COc1ccccc1-c1ccc(NC(=O)NCCCCN2CCCCC2)cc1,P46098,,7800.0,,5.108,Ion Channel
Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,P46098,0.5,,9.301,,Ion Channel
O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,P46098,1000.0,,6.0,,Ion Channel
COc1cc(N)c(Cl)cc1C(=O)NCCN(C)CC1CCCCC1(O)c1cccc(O)c1,P46098,,2800.0,,5.553,Ion Channel
CN1C(=N)N(C)/C(=C/c2c[nH]c3ccc(Br)cc23)C1=O,P46098,1000.0,,6.0,,Ion Channel
O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2,P46098,0.4288888888888889,1.96125,9.368,8.707,Ion Channel
O=C(Cn1nc(C2CCCCC2)cc(Cc2ccco2)c1=O)NC1Cc2ccccc2C1,P46098,,7943.28,,5.1,Ion Channel
Cc1ccc(NC(=O)c2cc(-c3ccccc3)c(N3CCOCC3)s2)c(C)c1,P46098,,1000.0,,6.0,Ion Channel
CN1CCN(c2cnc3ccccc3n2)CC1,P46098,4.677,,8.33,,Ion Channel
CCCCN1CCC(COC(=O)c2cc(Cl)c(NC)c3c2OCCO3)CC1,P46098,1072.0,,5.97,,Ion Channel
CCCCN1CCC(COC(=O)c2ccc(N)c(OC)c2)CC1,P46098,3511.0,,5.455,,Ion Channel
O=C(N[C@@H]1CN2CCC1CC2)c1cccc2oc(N3CCOCC3)nc12,P46098,165.0,,6.783,,Ion Channel
C[C@H]1COC[C@H](C)N1c1nc2c(C(=O)N[C@@H]3CN4CCC3CC4)cccc2o1,P46098,6.8,,8.167,,Ion Channel
COc1ccccc1-c1nc2c(C(=O)N[C@@H]3CN4CCC3CC4)cccc2o1,P46098,47.3,,7.325,,Ion Channel
O=C(N[C@@H]1CN2CCC1CC2)c1cccc2oc(C3CC3)nc12,P46098,32.7,,7.485,,Ion Channel
CCNc1nc2c(C(=O)N[C@@H]3CN4CCC3CC4)cccc2o1,P46098,36.4,,7.439,,Ion Channel
CCN(CC)c1nc2c(C(=O)N[C@@H]3CN4CCC3CC4)cccc2o1,P46098,12.4,,7.907,,Ion Channel
CC(C)N(C)c1nc2c(C(=O)N[C@@H]3CN4CCC3CC4)cccc2o1,P46098,66.5,,7.177,,Ion Channel
CN(C)c1nc2c(C(=O)N[C@@H]3CN4CCC3CC4)cccc2o1,P46098,18.2,,7.74,,Ion Channel
CNc1nc2c(C(=O)N[C@@H]3CN4CCC3CC4)cccc2o1,P46098,36.4,,7.439,,Ion Channel
Nc1nc2c(C(=O)N[C@@H]3CN4CCC3CC4)cccc2o1,P46098,13.8,,7.86,,Ion Channel
Nc1nc2c(C(=O)N[C@@H]3CN4CCC3CC4)cc(Cl)cc2o1,P46098,4.7,,8.328,,Ion Channel
Cc1sc2nc(SCCCN3CCN(c4ccc5ccccc5n4)CC3)n(N)c(=O)c2c1C,P46098,,48.4,,7.315,Ion Channel
Cc1sc2nc(SCCCN3CCN(c4cc(C)c5ccccc5n4)CC3)n(N)c(=O)c2c1C,P46098,,50.5,,7.297,Ion Channel
Nn1c(CCCCN2CCN(c3ccc4ccccc4n3)CC2)nc2c(c1=O)CCC2,P46098,,62.1,,7.207,Ion Channel
Nn1c(CCCCN2CCN(c3ccc4ccccc4n3)CC2)nc2c(c1=O)CCCCC2,P46098,,84.8,,7.072,Ion Channel
Cc1sc2nc(SCCCN3CCN(c4nc5ccccc5s4)CC3)n(N)c(=O)c2c1C,P46098,,87.6,,7.057,Ion Channel
Nn1c(CCCCN2CCN(c3ccc4ccccc4n3)CC2)nc2c(c1=O)CC(O)CC2,P46098,,46.5,,7.333,Ion Channel
CC(=O)N1CCc2c(sc3nc(CCCCN4CCN(c5ccc6ccccc6n5)CC4)n(N)c(=O)c23)C1,P46098,,22.1,,7.656,Ion Channel
O=c1[nH]c(CCCCN2CCN(c3ccc4ccccc4n3)CC2)nc2c1CCCC2,P46098,,24.6,,7.609,Ion Channel
Cc1cc(N2CCN(CCCCc3nc4c(c(=O)n3N)CCCC4)CC2)nc2ccccc12,P46098,,59.1,,7.228,Ion Channel
Nn1c(SCCCN2CCN(c3ccc4ccccc4n3)CC2)nc2sc3c(c2c1=O)CCCC3,P46098,,41.4,,7.383,Ion Channel
O=c1[nH]c(SCCCN2CCN(c3ccc4ccccc4n3)CC2)nc2sc3c(c12)CCCC3,P46098,,44.2,,7.355,Ion Channel
Nn1c(SCCCN2CCN(c3ccc4ccccc4n3)CC2)nc2ccccc2c1=O,P46098,,69.9,,7.156,Ion Channel
Nn1c(SCCCN2CCN(c3ccc4ccccc4n3)CC2)nc2c(c1=O)CCCC2,P46098,,63.8,,7.195,Ion Channel
Nn1c(CCCCN2CCN(c3nc4ccccc4cc3O)CC2)nc2c(c1=O)CCCC2,P46098,,52.6,,7.279,Ion Channel
Nn1c(SCCCN2CCN(c3ccc4ccccc4n3)CC2)nc2cccnc2c1=O,P46098,,61.0,,7.215,Ion Channel
Nn1c(CCCCN2CCN(c3ccc4ccc(O)cc4n3)CC2)nc2c(c1=O)CCCC2,P46098,,55.2,,7.258,Ion Channel
Nn1c(CN2CCN(c3ccc4ccccc4n3)CC2)nc2c(c1=O)CCCC2,P46098,,86.6,,7.062,Ion Channel
Nn1c(SCCCN2CCN(c3ccc4ccccc4n3)CC2)nc2ncccc2c1=O,P46098,,64.8,,7.188,Ion Channel
Nn1c(SCCCN2CCN(c3ccc4ccccc4n3)CC2)nc2sc3c(c2c1=O)CCNC3,P46098,,100.0,,7.0,Ion Channel
CC(=O)N1CCc2c(sc3nc(SCCCN4CCN(c5ccc6ccccc6n5)CC4)n(N)c(=O)c23)C1,P46098,,77.6,,7.11,Ion Channel
Cc1sc2nc(CCCCN3CCN(c4ccc5ccccc5n4)CC3)n(N)c(=O)c2c1C,P46098,,26.7,,7.573,Ion Channel
Nn1c(CCCCN2CCN(c3ccc4ccccc4n3)CC2)nc2ccccc2c1=O,P46098,,45.7,,7.34,Ion Channel
Nn1c(CCCCN2CCN(c3ccc4ccccc4n3)CC2)nc2cccc(F)c2c1=O,P46098,,50.6,,7.296,Ion Channel
Nn1c(CCCCN2CCN(c3ccc4ccccc4n3)CC2)nc2ccc(F)cc2c1=O,P46098,,99.4,,7.003,Ion Channel
Nn1c(CCCCN2CCN(c3ccc4ccccc4n3)CC2)nc2c(Cl)cccc2c1=O,P46098,,83.1,,7.08,Ion Channel
Cc1ccc2nc(CCCCN3CCN(c4ccc5ccccc5n4)CC3)n(N)c(=O)c2c1,P46098,,45.6,,7.341,Ion Channel
Cc1cccc2c(=O)n(N)c(CCCCN3CCN(c4ccc5ccccc5n4)CC3)nc12,P46098,,15.6,,7.807,Ion Channel
Nn1c(CCCCN2CCN(c3ccc4ccccc4n3)CC2)nc2c(c1=O)CCCC2,P46098,4.72,8.9,8.326,8.051,Ion Channel
CC1CCc2nc(CCCCN3CCN(c4ccc5ccccc5n4)CC3)n(N)c(=O)c2C1,P46098,,48.3,,7.316,Ion Channel
